customer_id,company_name,region,subscription_tier,signup_date,is_active,monthly_revenue
CUST-00000,"Rodriguez, Figueroa and Sanchez",India,Growth,2024-07-03,True,499
CUST-00001,Doyle Ltd,US,Starter,2026-01-24,True,99
CUST-00002,"Mcclain, Miller and Henderson",US,Starter,2025-07-07,True,99
CUST-00003,Davis and Sons,SEA,Growth,2025-09-23,False,499
CUST-00004,"Guzman, Hoffman and Baldwin",India,Growth,2025-10-17,False,499
CUST-00005,"Gardner, Robinson and Lawrence",India,Enterprise,2024-10-01,True,2499
CUST-00006,Blake and Sons,India,Starter,2026-03-08,True,99
CUST-00007,"Henderson, Ramirez and Lewis",US,Enterprise,2025-12-08,True,2499
CUST-00008,Garcia-James,US,Starter,2026-01-24,True,99
CUST-00009,Abbott-Munoz,US,Enterprise,2024-08-31,True,2499
CUST-00010,Blair PLC,India,Enterprise,2025-04-19,True,2499
CUST-00011,Dudley Group,US,Starter,2026-05-12,True,99
CUST-00012,Arnold Ltd,US,Enterprise,2025-01-18,True,2499
CUST-00013,"Mcclure, Ward and Lee",India,Growth,2025-03-22,True,499
CUST-00014,Williams and Sons,India,Starter,2025-07-02,False,99
CUST-00015,Galloway-Wyatt,India,Growth,2025-03-02,True,499
CUST-00016,James Group,India,Starter,2026-04-09,True,99
CUST-00017,"Flowers, Martin and Kelly",SEA,Growth,2024-11-08,True,499
CUST-00018,"Adams, Zuniga and Wong",SEA,Starter,2025-07-07,True,99
CUST-00019,"Reid, Ferguson and Sanchez",India,Starter,2025-03-19,True,99
CUST-00020,Gray-Mayo,US,Starter,2025-02-03,True,99
CUST-00021,"Watts, Robinson and Nguyen",India,Growth,2025-11-09,True,499
CUST-00022,Perez Inc,India,Enterprise,2024-11-10,False,2499
CUST-00023,Morales-Jones,India,Enterprise,2026-01-02,True,2499
CUST-00024,"Walter, Edwards and Rios",SEA,Starter,2025-07-19,True,99
CUST-00025,Wilkerson-Day,US,Starter,2025-12-28,True,99
CUST-00026,Baker and Sons,India,Growth,2026-06-09,False,499
CUST-00027,"Hoffman, Baker and Richards",SEA,Growth,2025-11-23,True,499
CUST-00028,"Ross, Robinson and Bright",SEA,Starter,2026-05-03,True,99
CUST-00029,"Snyder, Campos and Callahan",India,Starter,2024-11-27,False,99
CUST-00030,Burton Ltd,US,Growth,2026-04-30,False,499
CUST-00031,Carlson-Cruz,India,Starter,2024-09-29,True,99
CUST-00032,"Ferrell, Rice and Maddox",India,Growth,2026-02-04,True,499
CUST-00033,Frazier Inc,US,Growth,2025-09-03,True,499
CUST-00034,"Dyer, Potter and Mack",US,Enterprise,2026-01-30,True,2499
