event_id,customer_id,event_date,event_type,mrr_change
c1c9482a-701f-4ac8-8e39-7cac469c17ce,CUST-00000,2024-07-03,Activation,499
cc1bc89f-2abf-498d-bf71-1049a1c45d6b,CUST-00001,2026-01-24,Activation,99
bbb26f55-7f6b-45dc-ad41-6d4e47c3e2c5,CUST-00002,2025-07-07,Activation,99
b70e838d-3621-42be-9cfd-8c5a73c46276,CUST-00003,2025-09-23,Activation,499
4ed53b2a-a0ed-437e-b140-56a6e16834ce,CUST-00003,2026-04-22,Cancellation,-499
272c93ae-09b7-4dc8-be8d-6b36f5b5eca5,CUST-00004,2025-10-17,Activation,499
c9df2ee1-b5da-45d1-a014-7b8a03e704d7,CUST-00004,2026-03-03,Cancellation,-499
40e71ea6-a193-4710-9ba7-13ee87241029,CUST-00005,2024-10-01,Activation,2499
18cc06ea-fc33-4fe1-99bf-d12d5d8a28f3,CUST-00006,2026-03-08,Activation,99
7cd0be07-23fc-4291-a8cd-e5772ab68019,CUST-00007,2025-12-08,Activation,2499
025112c4-49dc-4680-b2fb-faf0f7918738,CUST-00008,2026-01-24,Activation,99
e8b5e3b8-0493-47eb-9589-d285b10b5dd2,CUST-00009,2024-08-31,Activation,2499
011d1220-19a4-4524-931b-781686c4d048,CUST-00010,2025-04-19,Activation,2499
6a9aba79-fc39-4abc-9680-f1ced16e9e08,CUST-00011,2026-05-12,Activation,99
a222fa8b-372c-4bb3-a49a-cff5d93642d9,CUST-00012,2025-01-18,Activation,2499
6fb72fcc-7567-4ae3-9210-fdca1a71d2ab,CUST-00013,2025-03-22,Activation,499
e2891d4b-8584-47c9-81e5-928955c7d391,CUST-00014,2025-07-02,Activation,99
713910e8-d2ad-4ae0-adde-fbbf85514ef3,CUST-00014,2026-04-29,Cancellation,-99
e43f905e-ded2-4218-8e8c-439c4f1c93bf,CUST-00015,2025-03-02,Activation,499
b22ae44f-af0d-4778-96c7-4a6683649050,CUST-00016,2026-04-09,Activation,99
8aef5396-2143-4aa1-b1c2-5cf35e44cf51,CUST-00017,2024-11-08,Activation,499
b68dd834-0718-4734-9c52-804d42b0e55f,CUST-00018,2025-07-07,Activation,99
528b48da-531e-4d32-b7d6-73a973c63e63,CUST-00019,2025-03-19,Activation,99
900e4c49-c556-4ad7-989c-5d1e10488695,CUST-00020,2025-02-03,Activation,99
39a6944c-8ace-4196-93f9-274896825a12,CUST-00021,2025-11-09,Activation,499
78c8ca2b-85c0-4ab6-8484-fbbfba693b68,CUST-00022,2024-11-10,Activation,2499
72f5fcf9-3017-4763-b0d4-c178940f98de,CUST-00022,2025-08-21,Cancellation,-2499
45c3b904-bb40-4aa6-90cb-5ceaf0c5a135,CUST-00023,2026-01-02,Activation,2499
ffe8416c-2e2d-4595-bc5d-700c77cb1c64,CUST-00024,2025-07-19,Activation,99
3de52606-710b-4b98-b440-cec8ea70bfda,CUST-00025,2025-12-28,Activation,99
adfa6b42-c81a-402d-bcd3-014f83709483,CUST-00026,2026-06-09,Activation,499
fa64d922-eca0-40aa-b231-9c84bbaf59c9,CUST-00027,2025-11-23,Activation,499
9655ada4-a247-4215-9139-491e46902392,CUST-00028,2026-05-03,Activation,99
cc259089-a5e0-4ff7-ab94-378639916e37,CUST-00029,2024-11-27,Activation,99
2d16007d-f113-4941-8aee-f789a519ead2,CUST-00029,2025-02-14,Cancellation,-99
346845c3-b0c9-4c83-bd9a-44a1e5476085,CUST-00030,2026-04-30,Activation,499
10f00617-e909-4b7d-b513-69d615e23bab,CUST-00031,2024-09-29,Activation,99
68d5c8d0-9220-4d2a-b900-53ad50492741,CUST-00032,2026-02-04,Activation,499
