ticket_id,customer_id,created_date,category,priority,resolution_days
TKT-000000,CUST-06140,2025-08-20,Technical Bug,Medium,0
TKT-000001,CUST-01416,2026-05-10,Feature Request,Low,2
TKT-000002,CUST-05429,2026-01-21,Billing,Medium,0
TKT-000003,CUST-03905,2026-04-16,Feature Request,Medium,1
TKT-000004,CUST-01155,2026-03-13,Technical Bug,Low,3
TKT-000005,CUST-05704,2025-09-06,Onboarding,Low,0
TKT-000006,CUST-05191,2026-05-30,Feature Request,Medium,0
TKT-000007,CUST-00253,2025-08-05,Technical Bug,High,0
TKT-000008,CUST-10731,2026-01-11,Technical Bug,High,2
TKT-000009,CUST-01686,2025-10-27,Technical Bug,Urgent,2
TKT-000010,CUST-00255,2026-02-28,Technical Bug,High,0
TKT-000011,CUST-03304,2026-06-19,Technical Bug,Medium,0
TKT-000012,CUST-02797,2025-09-25,Feature Request,Low,0
TKT-000013,CUST-06673,2026-06-10,Billing,Urgent,1
TKT-000014,CUST-03934,2026-04-10,Technical Bug,Medium,7
TKT-000015,CUST-02699,2025-10-05,Billing,Low,0
TKT-000016,CUST-07144,2025-11-20,Technical Bug,Low,7
TKT-000017,CUST-01893,2026-01-13,Feature Request,Medium,1
TKT-000018,CUST-07775,2026-06-08,Feature Request,Medium,0
TKT-000019,CUST-01961,2025-12-17,Billing,Low,0
TKT-000020,CUST-09438,2025-11-30,Billing,High,0
TKT-000021,CUST-02361,2025-10-04,Onboarding,Medium,0
TKT-000022,CUST-11632,2026-04-17,Onboarding,Low,1
TKT-000023,CUST-05247,2025-10-30,Onboarding,Low,0
TKT-000024,CUST-11790,2026-05-01,Feature Request,High,0
TKT-000025,CUST-11200,2025-11-12,Billing,Low,0
TKT-000026,CUST-08584,2026-03-06,Feature Request,Medium,0
TKT-000027,CUST-09473,2025-12-22,Billing,Medium,1
TKT-000028,CUST-03512,2025-11-17,Onboarding,Medium,1
TKT-000029,CUST-01400,2026-01-07,Onboarding,Low,0
TKT-000030,CUST-00801,2025-07-17,Feature Request,Medium,0
TKT-000031,CUST-05722,2026-06-13,Onboarding,Urgent,0
TKT-000032,CUST-01449,2026-04-17,Technical Bug,Medium,1
TKT-000033,CUST-00008,2025-07-02,Onboarding,Medium,2
TKT-000034,CUST-02404,2026-06-16,Feature Request,Low,0
TKT-000035,CUST-03771,2025-08-11,Billing,High,0
TKT-000036,CUST-02886,2026-01-30,Technical Bug,High,0
TKT-000037,CUST-08693,2026-03-22,Billing,Medium,0
TKT-000038,CUST-04064,2025-11-28,Technical Bug,Medium,0
TKT-000039,CUST-07041,2025-07-25,Billing,Medium,1
TKT-000040,CUST-11382,2026-04-08,Technical Bug,Low,2
TKT-000041,CUST-03207,2026-01-12,Feature Request,Low,3
TKT-000042,CUST-01413,2025-08-04,Feature Request,Low,1
TKT-000043,CUST-01398,2026-04-19,Onboarding,High,2
TKT-000044,CUST-10114,2026-01-12,Feature Request,Low,3
TKT-000045,CUST-08919,2026-06-09,Feature Request,Low,0
TKT-000046,CUST-09764,2026-01-03,Billing,Medium,1
TKT-000047,CUST-09150,2026-06-03,Billing,Medium,2
TKT-000048,CUST-02320,2025-07-01,Onboarding,Low,5
TKT-000049,CUST-04505,2026-03-20,Technical Bug,Low,0
TKT-000050,CUST-04874,2025-12-16,Feature Request,Medium,1
TKT-000051,CUST-05725,2025-12-30,Onboarding,Medium,8
TKT-000052,CUST-11199,2026-02-07,Feature Request,Medium,2
TKT-000053,CUST-02627,2026-05-26,Feature Request,Medium,0
TKT-000054,CUST-08515,2026-06-09,Billing,Medium,1
TKT-000055,CUST-01120,2026-05-08,Technical Bug,High,3
TKT-000056,CUST-08329,2026-05-27,Technical Bug,Low,3
